case_id,variant,injection_depth,injection_duration_min,injection_period_d,injection_flux_scale,injection_cadences,recovered_depth,depth_retention_frac
synthetic000_Primary,divisive,0.1,10.0,1.40793903,55.97695548139481,50,0.33698343149069776,3.3698343149069774
synthetic000_Primary,sub_median,0.1,10.0,1.40793903,55.97695548139481,50,15.255406372851663,152.5540637285166
synthetic000_Primary,sub_median_abs,0.1,10.0,1.40793903,55.97695548139481,50,15.255406372851663,152.5540637285166
synthetic000_Primary,sub_auto,0.1,10.0,1.40793903,55.97695548139481,50,0.09711134896329915,0.9711134896329915
synthetic001_Primary,divisive,0.1,10.0,1.40793903,60.69829188818724,53,0.8486536382471557,8.486536382471556
synthetic001_Primary,sub_median,0.1,10.0,1.40793903,60.69829188818724,53,4.741623719211606,47.416237192116064
synthetic001_Primary,sub_median_abs,0.1,10.0,1.40793903,60.69829188818724,53,4.741623719211606,47.416237192116064
synthetic001_Primary,sub_auto,0.1,10.0,1.40793903,60.69829188818724,53,0.09691164632420224,0.9691164632420224
synthetic002_Primary,divisive,0.1,10.0,1.40793903,55.94924675546552,53,1.0742953091400094,10.742953091400093
synthetic002_Primary,sub_median,0.1,10.0,1.40793903,55.94924675546552,53,1.8514603856051637,18.514603856051636
synthetic002_Primary,sub_median_abs,0.1,10.0,1.40793903,55.94924675546552,53,1.8514603856051637,18.514603856051636
synthetic002_Primary,sub_auto,0.1,10.0,1.40793903,55.94924675546552,53,0.09761094150086658,0.9761094150086658
synthetic003_Primary,divisive,0.1,10.0,1.40793903,55.83924113579647,53,0.5359167239267628,5.359167239267628
synthetic003_Primary,sub_median,0.1,10.0,1.40793903,55.83924113579647,53,0.6379974355918119,6.379974355918119
synthetic003_Primary,sub_median_abs,0.1,10.0,1.40793903,55.83924113579647,53,0.6379974355918119,6.379974355918119
synthetic003_Primary,sub_auto,0.1,10.0,1.40793903,55.83924113579647,53,0.0979119091724564,0.979119091724564
synthetic004_Primary,divisive,0.1,10.0,1.40793903,64.12532465282146,53,0.30211513172767906,3.0211513172767903
synthetic004_Primary,sub_median,0.1,10.0,1.40793903,64.12532465282146,53,0.3050889038940298,3.050889038940298
synthetic004_Primary,sub_median_abs,0.1,10.0,1.40793903,64.12532465282146,53,0.3050889038940298,3.050889038940298
synthetic004_Primary,sub_auto,0.1,10.0,1.40793903,64.12532465282146,53,0.09821671338296178,0.9821671338296178
synthetic005_Primary,divisive,0.1,10.0,1.40793903,87.73421573908253,52,0.14039954749511518,1.4039954749511518
synthetic005_Primary,sub_median,0.1,10.0,1.40793903,87.73421573908253,52,0.14407654155834276,1.4407654155834275
synthetic005_Primary,sub_median_abs,0.1,10.0,1.40793903,87.73421573908253,52,0.14407654155834276,1.4407654155834275
synthetic005_Primary,sub_auto,0.1,10.0,1.40793903,87.73421573908253,52,0.09787861509886625,0.9787861509886625
synthetic006_Primary,divisive,0.1,10.0,1.40793903,188.69115823118636,54,0.11597514765937988,1.1597514765937988
synthetic006_Primary,sub_median,0.1,10.0,1.40793903,188.69115823118636,54,0.11431346922348407,1.1431346922348407
synthetic006_Primary,sub_median_abs,0.1,10.0,1.40793903,188.69115823118636,54,0.11431346922348407,1.1431346922348407
synthetic006_Primary,sub_auto,0.1,10.0,1.40793903,188.69115823118636,54,0.09791266138297516,0.9791266138297516
synthetic007_Primary,divisive,0.1,10.0,1.40793903,485.71161038802836,54,0.10429329174489366,1.0429329174489366
synthetic007_Primary,sub_median,0.1,10.0,1.40793903,485.71161038802836,54,0.10507538873116185,1.0507538873116185
synthetic007_Primary,sub_median_abs,0.1,10.0,1.40793903,485.71161038802836,54,0.10507538873116185,1.0507538873116185
synthetic007_Primary,sub_auto,0.1,10.0,1.40793903,485.71161038802836,54,0.10507538873116185,1.0507538873116185
