sector,tic_id,gaia_dr3_source_id,pwd,is_highconf_wd,orbits
61,684371,5717911642160744448,0.077929,0,129;130
61,816793,5764485618978306176,0.997581,1,129;130
61,873965,5642384406046819456,0.099482,0,129;130
61,892149,5762406957886626816,0.999408,1,129;130
61,914845,5759268436304868864,0.01058,0,129;130
61,918893,5763017182543888640,0.996374,1,129;130
61,1014196,5642309707974286848,0.05029,0,129;130
61,1107885,5734737438536674432,1.0,1,129;130
61,1130644,5642343307498522112,0.012147,0,129;130
61,1141947,5734235438462566656,0.09942,0,129;130
61,1143174,5709305455412165376,0.010092,0,129;130
61,1202936,5642857299126433152,0.008917,0,129;130
61,1205359,5642149587291508480,0.04455,0,129;130
61,1205965,5642137084649493376,0.015054,0,129;130
61,1206178,5642151824977203072,0.01854,0,129;130
61,1573839,5652474654311593728,0.022373,0,129;130
61,1647346,3072185163322482816,0.01364,0,129;130
61,1648542,5761400904746195584,0.015583,0,129;130
61,1868257,5652976821887570688,0.043745,0,129;130
61,2020725,5652711530346404992,0.02101,0,129;130
61,2084183,5641824514107264128,0.022137,0,129;130
61,2084703,5641762872735832064,0.804076,1,129;130
61,2094712,5652689406971618048,0.996877,1,129;130
61,2140147,5641861450826507904,0.999445,1,129;130
61,2224747,5649105922480851200,0.992888,1,129;130
61,2224750,5649105926779602432,0.9893,1,129;130
61,2242348,5641567228387537792,0.015686,0,129;130
61,2355043,5648781188594902912,0.061323,0,129;130
61,5051080,5619750198969385856,0.011738,0,129;130
61,11005364,5711355018110883840,0.059805,0,129;130
61,11076279,5700861755870741376,0.019114,0,129;130
61,11172641,5700906599628467328,0.023626,0,129;130
61,11175956,5713500577612266240,0.012513,0,129;130
61,11177422,5713855822944501504,0.01535,0,129;130
61,11179513,5719943780166196736,0.016653,0,129;130
61,11225798,5700970130785826688,0.022702,0,129;130
61,11232335,5698107827140227968,0.048851,0,129;130
61,11305727,5701400314709007616,0.023013,0,129;130
61,11741512,5640512281343193344,0.027325,0,129;130
61,13348510,5750152522837985792,0.037158,0,129;130
61,13391712,5751047005610874112,0.995992,1,129;130
61,13476741,5750640087525476608,0.999329,1,129;130
61,13539885,5750569753140047616,0.010165,0,129;130
61,13566624,5757034091238475520,0.998655,1,129;130
61,13624104,5749923927498763264,0.010432,0,129;130
61,13816037,5755957119598921728,0.994593,1,129;130
61,13832869,5736737896863648000,0.014595,0,129;130
61,19257657,5728019113254140672,0.992889,1,129;130
61,19344806,5728449705198940416,0.027361,0,129;130
61,19566584,5752319591539093120,0.999751,1,129;130
61,19656004,5752253483401320320,0.02224,0,129;130
61,19690565,5753155495252812544,0.015474,0,129;130
61,19764340,5752707302529201152,0.009392,0,129;130
61,19822972,5752384187845968640,0.950203,1,129;130
61,20086939,5743856822336383744,0.999262,1,129;130
61,22595500,5561160355360035456,0.9962,1,129;130
61,22866080,5589354543620145024,0.996523,1,129;130
61,22868366,5564932779755854976,0.999216,1,129;130
61,25078523,4665988973577936640,0.990589,1,129;130
61,25133286,4653893040002306432,0.079218,0,129;130
61,25154903,4668217275627209856,0.018187,0,129;130
61,25944601,3080647618990035456,0.024841,0,129;130
61,25948892,3068507812327598208,0.011424,0,129;130
61,30264530,4654695103690489856,0.993916,1,129;130
61,31685173,3043402555955219328,0.027888,0,129;130
61,31798074,4670655408301574144,0.998145,1,129;130
61,31838811,3043627818397104896,0.056747,0,129;130
61,31939938,3043389739770108800,0.013283,0,129;130
61,31941795,3043761409059739776,0.999252,1,129;130
61,31998168,4667932055438729728,0.998808,1,129;130
61,31998581,4672506023810557824,0.999252,1,129;130
61,32001424,3043841265390786944,0.993869,1,129;130
61,32068637,4667446586695129472,0.990873,1,129;130
61,32154307,4666805262178337280,0.045209,0,129;130
61,32298187,3036825900169380480,0.023257,0,129;130
61,33715209,4653722929233862272,0.993016,1,129;130
61,33716446,4628627126086089216,0.015313,0,129;130
61,33717565,4627855367706529152,0.989085,1,129;130
61,33735626,4629155441424591360,0.030027,0,129;130
61,33840009,4653404070862114176,0.999799,1,129;130
61,35885057,3044201424168398464,0.009644,0,129;130
61,36025417,3037349400846460160,0.044144,0,129;130
61,36085812,3043990932113003648,0.643722,0,129;130
61,36085878,3043989768179491072,0.014145,0,129;130
61,36202886,3039161877042725760,0.031241,0,129;130
61,36237610,3043097166603082240,0.996309,1,129;130
61,36337859,3044036909740407168,0.925193,1,129;130
61,36699257,3039365806388271232,0.060073,0,129;130
61,37364410,5652777470980767232,0.028011,0,129;130
61,37435001,5648047028363321344,0.019923,0,129;130
61,38570885,4675977078940730240,0.013953,0,129;130
61,38709750,4675008748497137536,0.989596,1,129;130
61,38845357,4677461862018523776,0.997874,1,129;130
61,47330872,5755629533853347456,0.999601,1,129;130
61,47331912,5737143547934784384,0.017537,0,129;130
61,47791607,5639062399157111552,0.022278,0,129;130
61,49835817,3027798978427992832,0.990649,1,129;130
61,50716374,5753337533146097280,0.999772,1,129;130
61,50838187,5751561203392386304,0.012861,0,129;130
61,50933738,5751998534141123840,0.09247,0,129;130
61,51036203,5754571941105430912,0.09367,0,129;130
61,51039966,5752169160308040960,0.987111,1,129;130
61,51367593,5748802661860766208,0.99722,1,129;130
61,51585034,5753816606683475712,0.99172,1,129;130
61,51867317,5704768217600464896,0.995683,1,129;130
61,52776916,5526330193519035520,0.132276,0,129;130
