sector,tic_id,gaia_dr3_source_id,pwd,is_highconf_wd,orbits
60,4373827,879166065892619904,0.010775,0,127;128
60,4488436,894591075862208128,0.999925,1,127;128
60,4491131,879237740307303040,0.012703,0,127;128
60,4559038,878975541144130688,0.995247,1,127;128
60,11552152,995112350178946048,0.991356,1,127;128
60,11671758,994356500359334784,0.970821,1,127;128
60,11834556,994092415707121024,0.990255,1,127;128
60,14121617,1000142959474643584,0.9957,1,127;128
60,14122276,994074716148990592,0.992952,1,127;128
60,14285125,1000497070938042496,0.022054,0,127;128
60,15924748,945273721477246208,0.034645,0,127;128
60,16046443,898625493262383104,0.044475,0,127;128
60,16430678,943770757800160384,0.99963,1,127;128
60,16531420,944390774983674496,0.016592,0,127;128
60,16548583,944149092879368320,0.999771,1,127;128
60,16594061,946056500739163136,0.039337,0,127;128
60,17857475,948246835277407744,0.999825,1,127;128
60,17901092,908957092928687104,0.996124,1,127;128
60,18747353,900182131145007104,0.998791,1,127;128
60,21294421,896190212446380416,0.469853,0,127;128
60,22635383,931238043230275968,0.927775,1,127;128
60,22704782,916277400827964544,0.068401,0,127;128
60,29106185,925532265076649472,0.994957,1,127;128
60,39025053,906771229452899584,0.991315,1,127;128
60,47875421,2147153176036538112,0.999582,1,127;128
60,51125264,988153777310351104,0.999739,1,127;128
60,51165700,988155392218069248,0.995626,1,127;128
60,53308315,1082953944734686720,0.993616,1,127;128
60,53426287,1081813343155426560,0.99508,1,127;128
60,55125767,1007682723024253184,0.99767,1,127;128
60,55130446,1008280341952767232,0.631222,0,127;128
60,55502089,1104056493449217280,0.053907,0,127;128
60,55596721,1004109340296754944,0.995395,1,127;128
60,55642026,1100385675097253632,0.018631,0,127;128
60,68382639,937370874276937856,0.031043,0,127;128
60,68580109,889391077355387392,0.994311,1,127;128
60,68662346,939785333092171648,0.108385,0,127;128
60,68904300,890405716132298112,0.999578,1,127;128
60,68984044,886601921296903424,0.033483,0,127;128
60,70891538,1005850112018522624,0.050715,0,127;128
60,71149105,1028955489881696768,0.994502,1,127;128
60,71293338,1110464588950126720,0.992323,1,127;128
60,71329936,1108654139977900800,0.994283,1,127;128
60,71518872,1095054452452761344,0.096884,0,127;128
60,71585223,1097100089538914816,0.994428,1,127;128
60,73277101,1090281266317635584,0.998853,1,127;128
60,73380812,1035806851776104448,0.995649,1,127;128
60,73381663,1090742064769027072,0.999803,1,127;128
60,73431551,1041938213945851264,0.092378,0,127;128
60,73431864,1041570461665921280,0.019016,0,127;128
60,80858168,1081519288218904960,0.99445,1,127;128
60,80882545,1081514379072280320,0.994471,1,127;128
60,80882624,1081504483467714176,0.995753,1,127;128
60,81000955,1083389282619840256,0.990096,1,127;128
60,81104679,1035619453763003904,0.031545,0,127;128
60,85146644,1085903148454238208,0.988436,1,127;128
60,85241755,1086266502687204224,0.022724,0,127;128
60,85270881,1086420430019618304,0.11475,0,127;128
60,86177024,1040160612880069888,0.996863,1,127;128
60,88333281,1100655330324351616,0.995434,1,127;128
60,88333342,1100267237077449728,0.995903,1,127;128
60,88410847,1100619733635228928,0.07635,0,127;128
60,88484968,1099325161772414208,0.999803,1,127;128
60,88564975,1099005032089977984,0.983854,1,127;128
60,88701414,1087442842689746048,0.997907,1,127;128
60,98972234,927227948229851392,0.009575,0,127;128
60,99100380,928937074630507392,0.996308,1,127;128
60,99432153,485160399109566976,0.073153,0,127;128
60,99433116,486356294101502976,0.025907,0,127;128
60,99545080,1109099132950635776,0.998648,1,127;128
60,99650487,1109216024779190016,0.008632,0,127;128
60,102927847,1118460924703171584,0.996485,1,127;128
60,103570864,1070555477959634560,0.999623,1,127;128
60,103631104,1070600145618332160,0.999372,1,127;128
60,103806085,1076941716370493696,1.0,1,127;128
60,125580300,2303857158072454912,0.999829,1,127;128
60,137420846,1145515812758308096,0.999546,1,127;128
60,137502282,1144006011494091520,0.015963,0,127;128
60,137504709,1145233586163217664,0.013537,0,127;128
60,137607346,1147426493385107328,0.121736,0,127;128
60,137608661,1132110502568387968,0.011981,0,127;128
60,138251196,3440707857129932672,0.990106,1,127;128
60,138335857,954763189722206592,0.240355,0,127;128
60,138399349,557301216730452864,0.013778,0,127;128
60,138400883,1141625057721183616,0.024729,0,127;128
60,138440897,1143749073667258240,0.012552,0,127;128
60,140834596,503414937830647552,0.994659,1,127;128
60,140993620,503537434595593088,0.999115,1,127;128
60,141033984,552280537401824384,0.98787,1,127;128
60,141100831,933095015289999872,0.994004,1,127;128
60,141101830,932288691014697472,0.099209,0,127;128
60,141117787,923023248261420672,1.0,1,127;128
60,141431871,1115546944012493696,0.996154,1,127;128
60,141583827,1140292483988569856,0.995567,1,127;128
60,141661669,1142701823200960512,0.013976,0,127;128
60,141689067,1141846540594232192,0.999757,1,127;128
60,141764095,1149274497554125568,0.024918,0,127;128
60,142488005,1078525597230058880,0.998774,1,127;128
60,142491300,1128175247373543168,0.012725,0,127;128
60,142535546,1078984535959849472,0.020838,0,127;128
60,142584631,1079787355542320256,0.99904,1,127;128
