tic_id,has_h5,h5_status_class,is_julien_example,source_ids,n_source_ids,max_pwd,min_pwd,any_highconf_wd,tic_match_statuses,gaia_twirl_tmag_min,gaia_twirl_tmag_max,unique_tic_tmag_min,unique_tic_tmag_max,tic_bridge_source_count,n_obs_rows,orbits,detectors,cameras,ccds,colpix_min,colpix_max,rowpix_min,rowpix_max,any_edge_warn
266594895,False,within_ticmag20_edge_warn,False,1946759897611003776,1,0.99813,0.99813,True,unique_tic,16.069017637964794,16.069017637964794,16.1304,16.1304,1,2,119;120,cam2/ccd2,cam2,ccd2,1404.7208,1404.7208,2048.4282,2048.4282,True
1102430669,False,within_ticmag20_edge_warn,False,1640380742012038144,1,0.993133,0.993133,True,unique_tic,19.793364058506175,19.793364058506175,19.9075,19.9075,1,2,119;120,cam4/ccd3,cam4,ccd3,2072.449,2072.449,1.1495641,1.1495641,True
1102635541,False,within_ticmag20_edge_warn,False,1706976275816895872,1,0.013746,0.013746,False,unique_tic,18.905352021847477,18.905352021847477,18.8653,18.8653,1,2,119;120,cam4/ccd3,cam4,ccd3,44.12738,44.12738,708.5682,708.5682,True
1201222811,False,within_ticmag20_edge_warn,False,1626878090683867136,1,0.994467,0.994467,True,unique_tic,17.820173022953814,17.820173022953814,17.8677,17.8677,1,2,119;120,cam4/ccd4,cam4,ccd4,491.71854,491.71854,1.4029744,1.4029744,True
1271227364,False,within_ticmag20_edge_warn,False,1632270435007708288,1,0.079534,0.079534,False,unique_tic,19.88942089520276,19.88942089520276,19.733,19.733,1,2,119;120,cam4/ccd4,cam4,ccd4,45.028618,45.028618,1581.3943,1581.3943,True
1400720048,False,within_ticmag20_edge_warn,False,1417647861210705152,1,0.997051,0.997051,True,unique_tic,19.460850207569173,19.460850207569173,19.5701,19.5701,1,2,119;120,cam4/ccd4,cam4,ccd4,2011.4672,2011.4672,2048.3362,2048.3362,True
1400839491,False,within_ticmag20_edge_warn,False,1434623633548366720,1,0.999093,0.999093,True,unique_tic,18.74394188171826,18.74394188171826,18.7605,18.7605,1,2,119;120,cam4/ccd4,cam4,ccd4,1166.209,1166.209,2046.9691,2046.9691,True
1400944810,False,within_ticmag20_edge_warn,False,1441139717412162048,1,0.140183,0.140183,False,unique_tic,19.833006213949567,19.833006213949567,19.7977,19.7977,1,2,119;120,cam4/ccd2,cam4,ccd2,44.579243,44.579243,1903.9706,1903.9706,True
1400954658,False,within_ticmag20_edge_warn,False,1633021229651575424,1,0.092181,0.092181,False,unique_tic,20.065929173270955,20.065929173270955,19.9464,19.9464,1,2,119;120,cam4/ccd4,cam4,ccd4,44.71595,44.71595,1971.1953,1971.1953,True
1401070389,False,within_ticmag20_edge_warn,False,1652706439158009856,1,0.953896,0.953896,True,unique_tic,19.700613852130164,19.700613852130164,19.8518,19.8518,1,2,119;120,cam4/ccd3,cam4,ccd3,686.3637,686.3637,2047.6163,2047.6163,True
